smiles,atom1,atom2,L,Bmin,Bmax,PercentBuried_Volume,Percent_Buried_Sheel,Occupied_Volume
O=C1OCC[N]1_0,4.0,0.0,4.90371678,1.9118990172679644,3.246383293055475,33.235088921288884,0.0,68.63000000000001
O=C1OCC[N]1_1,4.0,0.0,4.90371678,1.9118990172679644,3.246383293055475,33.235088921288884,0.0,68.63000000000001
O=C1OCC[N]1_2,4.0,3.0,4.53261293,1.7,3.716061686846568,33.235088921288884,0.0,68.63000000000001
ClCl_1,2.0,1.0,3.770002,1.75,1.75,21.73889127943329,0.0,39.70487500000001
Cl_0,0.0,0.0,2.4685259999999998,1.75,1.75,13.615519692747737,0.0,24.443500000000007
Br_0,0.0,0.0,2.6219400000000004,1.83,1.83,15.555968678762358,0.0,27.927125000000007
F_0,0.0,0.0,2.0678,1.47,1.47,8.356623734345996,0.0,15.002375000000004
BrBr_1,2.0,1.0,4.13,1.83,1.83,24.191520205206185,0.0,46.69987500000001
FF_1,2.0,1.0,2.95,1.47,1.47,12.524665544271258,0.0,22.485125000000004
BrC1=CC=CC=C1_0,5.0,0.0,6.50472139,1.8299727071807326,3.245983935013089,36.61169505060513,0.0,97.13325000000002
BrC1=CC=CC=C1_1,5.0,4.0,4.27031394,1.7,5.880253034382052,36.61169505060513,0.0,97.13325000000002
C_0,0.0,0.0,2.1821997800000004,1.7,2.1197355026368556,14.043519976827964,0.0,25.211875000000006
C#C_1,2.0,1.0,3.3561064500000004,1.7,1.7,18.460201613408582,0.0,33.141000000000005
C#N_1,2.0,1.0,3.3149995600000004,1.7,1.7,15.888509651068711,0.0,28.524125000000005
C(=O)OC_0,4.0,1.0,4.30202378,1.7559031168165904,2.7389505060562227,26.594574346162897,0.0,53.336500000000015
C(=O)OC_1,4.0,3.0,4.16207036,1.7,3.8225456431072073,26.594574346162897,0.0,53.336500000000015
C(C)(C)_0,3.0,1.0,4.26424854,1.9765968957393663,3.24503259063418,28.069198215874703,0.0,55.59500000000001
C(C)(C)_1,3.0,2.0,4.49454214,1.7320875872636563,2.8326938944082274,28.069198215874703,0.0,55.59500000000001
C1(C=CC=C2)=C2SC=N1_0,5.0,2.0,4.99263589,1.7402102762789002,5.546989567604689,41.092328151000146,0.0,109.95750000000002
C1(C=CC=C2)=C2SC=N1_1,5.0,2.0,4.99263589,1.7402102762789002,5.546989567604689,41.092328151000146,0.0,109.95750000000002
C1(C=CC=C2)=C2SC=N1_2,5.0,3.0,4.47624109,1.722915261337273,5.938346501330507,41.092328151000146,0.0,109.95750000000002
C1(C=CC=C2)=C2SC=N1_3,5.0,3.0,4.47624109,1.722915261337273,5.938346501330507,41.092328151000146,0.0,109.95750000000002
C1(C=CC=C2)=C2SC=N1_4,5.0,6.0,5.926429049999999,1.7713884878035906,4.466038786736993,41.092328151000146,0.0,109.95750000000002
C1(C=CC=C2)=C2SC=N1_5,5.0,7.0,5.63789013,1.8,4.987857081635372,41.092328151000146,0.0,109.95750000000002
C1(C=CC=C2)=C2SC=N1_6,5.0,7.0,5.63789013,1.8,4.987857081635372,41.092328151000146,0.0,109.95750000000002
C1(C=CC=C2)=C2SC=N1_7,5.0,8.0,5.9555868,1.7740130733860644,4.557813985100488,41.092328151000146,0.0,109.95750000000002
C1(CC2=CC=CC=C2)=CC=CC=C1_0,9.0,5.0,7.2022349199999995,2.458311609254644,4.88171138039562,46.19900548778025,0.0,163.03337500000004
C1(CC2=CC=CC=C2)=CC=CC=C1_1,9.0,10.0,5.90213174,1.7,5.839431169710256,46.19900548778025,0.0,163.03337500000004
